,condition,participant,choice_herf,reward_var
67,self_select,68,0.69375,12.971121771072847
68,self_select,69,0.74625,11.583932838203095
69,self_select,70,0.62875,29.92803869283786
70,self_select,71,0.7474999999999999,0.4330127018922193
71,self_select,72,0.74875,1.7320508075688772
72,self_select,73,0.0,17.320508075688775
73,self_select,74,0.7362500000000001,5.448623679425842
74,self_select,75,0.6174999999999999,21.358546298847212
75,self_select,76,0.6849999999999999,4.092676385936225
76,self_select,77,0.7474999999999999,17.80975856096876
77,self_select,78,0.74125,3.112474899497183
78,self_select,79,0.7437499999999999,5.049752469181039
79,self_select,80,0.73125,9.67923034130297
80,self_select,81,0.64375,18.627936010197157
81,self_select,82,0.26875000000000016,27.55902755904134
82,self_select,83,0.71875,9.354143466934854
83,self_select,84,0.68625,8.660254037844387
84,self_select,85,0.63875,19.917015338649513
85,self_select,86,0.73,17.392527130926087
86,self_select,87,0.635,22.360679774997898
87,self_select,88,0.67375,25.0
88,self_select,89,0.69875,13.827056809024834
89,self_select,90,0.565,16.723860200324566
90,self_select,91,0.74625,9.013878188659973
91,self_select,92,0.64125,9.60143218483576
92,self_select,93,0.2662500000000001,14.376630342329875
93,self_select,94,0.66625,33.46173187388842
94,self_select,95,0.75,0.0
95,self_select,96,0.58375,23.45207879911715
96,self_select,97,0.7474999999999999,0.0
97,self_select,98,0.70625,12.99038105676658
98,self_select,99,0.58375,20.216020874544032
99,self_select,100,0.75,7.842193570679061
100,self_select,101,0.41625,15.394804318340652
101,self_select,102,0.6487499999999999,20.603397778036516
102,self_select,103,0.0,24.743686063317245
103,self_select,104,0.585,4.330127018922194
104,self_select,105,0.69375,29.961433543807612
105,self_select,106,0.55625,18.027756377319946
106,self_select,107,0.74875,11.211043662389331
107,self_select,108,0.75,0.0
108,self_select,109,0.66625,7.582875444051551
109,self_select,110,0.75,1.6583123951777
110,self_select,111,0.71875,7.1545440106270926
111,self_select,112,0.62125,23.79469478686373
112,self_select,113,0.75,5.0
113,self_select,114,0.41375000000000006,12.132085558550928
114,self_select,115,0.28875000000000006,15.580436450882884
115,self_select,116,0.69125,42.64680527307995
116,self_select,117,0.75,5.11737237261468
117,self_select,118,0.74625,1.0897247358851685
118,self_select,119,0.0,37.818646194701365
119,self_select,120,0.6487499999999999,7.258615570478987
120,self_select,121,0.63625,35.35533905932738
121,self_select,122,0.74125,0.0
122,self_select,123,0.74625,6.87386354243376
123,self_select,124,0.0,2.692582403567252
124,self_select,125,0.47125000000000017,21.05201890555868
125,self_select,126,0.7250000000000001,5.448623679425842
126,self_select,127,0.62625,14.411367041332339
127,self_select,128,0.0,11.554220008291344
128,self_select,129,0.68375,19.551214796017153
129,self_select,130,0.7424999999999999,0.4330127018922193
130,self_select,131,0.5862499999999999,9.460443964212251
131,self_select,132,0.745,3.774917217635375
132,self_select,133,0.75,0.0
133,self_select,134,0.71875,2.680951323690902
134,self_select,135,0.75,2.165063509461097
135,self_select,136,0.75,0.0
136,self_select,137,0.74625,1.224744871391589
137,self_select,138,0.74125,21.79449471770337
138,self_select,139,0.72375,25.41653005427767
139,self_select,140,0.6737500000000001,4.330127018922194
140,self_select,141,0.75,17.014699527173555
141,self_select,142,0.0,14.58380951603524
142,self_select,143,0.74875,1.920286436967152
143,self_select,144,0.74875,0.0
144,self_select,145,0.745,10.615436872781073
145,self_select,146,0.70375,27.386127875258307
146,self_select,147,0.0,19.48557158514987
147,self_select,148,0.6912499999999999,12.99038105676658
148,self_select,149,0.6812499999999999,16.00781059358212
149,self_select,150,0.7474999999999999,4.330127018922194
150,self_select,151,0.66625,30.914195768287424
151,self_select,152,0.7337499999999999,5.244044240850758
152,self_select,153,0.28875000000000006,17.226433176952217
153,self_select,154,0.58125,27.685736399814257
154,self_select,155,0.74625,4.330127018922194
155,self_select,156,0.57875,8.860022573334675
156,self_select,157,0.72875,26.845623479442605
157,self_select,158,0.7437499999999999,2.165063509461097
158,self_select,159,0.65875,0.0
159,self_select,160,0.74625,15.190457530963313
160,self_select,161,0.74625,28.217902119044926
161,self_select,162,0.5575,14.611639196202457
162,self_select,163,0.6812499999999999,0.0
163,self_select,164,0.14249999999999996,10.41633332799983
164,self_select,165,0.73875,14.577379737113251
165,self_select,166,0.44500000000000006,20.463381929681123
166,self_select,167,0.27000000000000024,13.937359864766353
167,self_select,168,0.75,5.0
168,self_select,169,0.66625,9.447221813845593
169,self_select,170,0.71875,4.330127018922194
170,self_select,171,0.47125000000000017,33.55126674210677
171,self_select,172,0.735,12.5
172,self_select,173,0.6812499999999999,24.843258642939738
173,self_select,174,0.71375,0.0
174,self_select,175,0.6175,7.5
175,self_select,176,0.7262500000000001,13.40475661845451
176,self_select,177,0.75,0.4330127018922193
177,self_select,178,0.71875,6.796138609534093
178,self_select,179,0.70625,0.0
179,self_select,180,0.65625,15.411035007422441
180,self_select,181,0.74875,4.548351349665063
181,self_select,182,0.7,11.800423721205947
182,self_select,183,0.75,0.0
